Timestamp,What is your name?,How can you be reached?,Phone Number:,Are you on a Meal Team?,Would you be willing to serve in any of the following areas of parish life?,"If none of the ministries previously listed seem like a good fit right now, are there other ways you would like to serve or participate in parish life?","Do you have talents, skills, certifications, professional experience, or interests that you would be willing to offer to the parish?","What ministries, programs, or areas of parish life would you like to see developed in the future?"
6/14/2026 11:54:20,Kud-Ei,I am in the Parish Directory,,No,"Flower Ministry, Orthodox School",,Pilates training ,
6/14/2026 11:55:42,Hieronymus Lex,I am not in the Parish Directory,583-214,No,"Community Outreach, Homebound, Security Team, Welcome Booth & Ushers",,I am cpr certified ,Prison outreach?
6/14/2026 11:57:14,Glarthir,I am in the Parish Directory,,No,Burial Society,Choir,,
6/14/2026 11:57:33,Ocheeva,I am not in the Parish Directory,741-906,No,"Community Outreach, Security Team, Welcome Booth & Ushers",Maybe choir,,
6/14/2026 12:04:58,Martin Septim,I am in the Parish Directory,,Yes,"Community Outreach, Events, Programs, & Fundraising, Facilities & Groundskeeping, Flower Ministry, Homebound, Liturgical Ministry, Orthodox School",,I can clean well,
6/14/2026 12:11:59,Falanu Hlaalu,I am not in the Parish Directory,268-531,No,"Building Committee, Homebound, Liturgical Ministry",,,
6/14/2026 12:27:12,Agronak gro-Malog,I am not in the Parish Directory,915-427,No,"Building Committee, Burial Society, Facilities & Groundskeeping, Flower Ministry, Liturgical Ministry, Orthodox School, Security Team",I would like to help in anyway possible. ,"I am currently an Industrial Electrician and feel most comfortable doing any kind of hands on work, cleaning, setting up displays or equipment etc. Would love to learn more kitchen work. ",Men's groups. 
6/14/2026 12:29:51,Methredhel,I am in the Parish Directory,,No,"Burial Society, Facilities & Groundskeeping, Security Team",N/A,Can help where is needed ,N/A
6/14/2026 12:31:20,Hannibal Traven,I am in the Parish Directory,,No,"Burial Society, Facilities & Groundskeeping, Liturgical Ministry, Security Team",,IT / Technology/ Networking ,
6/14/2026 12:31:50,Dar-Ma,I am in the Parish Directory,,No,"Building Committee, Security Team",,,
6/14/2026 12:48:58,Lucien Lachance,I am in the Parish Directory,,No,"Events, Programs, & Fundraising, Flower Ministry, Media & Communications",,,
6/14/2026 14:09:41,Maglir,I am not in the Parish Directory,346-802,No,"Community Outreach, Events, Programs, & Fundraising, Media & Communications, Welcome Booth & Ushers",,"I can paint, act and have some musical talent ",more community outreach and events (though we’re pretty good at that)
6/14/2026 15:07:04,Ahdarji,I am in the Parish Directory,,No,Welcome Booth & Ushers,,,"Greetings, expectations, information."
6/14/2026 15:30:24,Raminus Polus,I am in the Parish Directory,,No,Welcome Booth & Ushers,"I wasn’t able to select meal team as an option, but that would work for me as well. I will be starting a grad school program in the fall, so a less stressful area would be the best for this season. ",I have worked with children on the autism spectrum from many years. I have a skill set for engaging with those kiddos. All my skills are in education. ,Summer hang outs at parks would be a fun addition. 
6/14/2026 15:50:08,Mazoga the Orc,I am in the Parish Directory,,No,"Building Committee, Facilities & Groundskeeping, Security Team",,All of my training and certification are based in policing military and dog training. ,"Property Growth ( main building expansion)
Growth in safety / security team and measures "
6/14/2026 16:51:37,Velwyn Benirus,I am in the Parish Directory,,Yes,"Building Committee, Burial Society, Community Outreach, Facilities & Groundskeeping, Homebound, Security Team",,Not yet but I am currently getting a degree in athletic training so I would like to do some orthopedic rehabilitation clinic in the future. ,
